Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
Exceptional,Very friendly staff,,10.0,Amal,Lebanon,Double Room with Balcony,1 night,August 2022,Couple,
3* gem of Larnaca region,"The best 3 stars hotel I have been ever! Clean as hospital, super comfy, close to one of the best beaches of Larnaca region, perfectly connect by public transport with Larnaca city centre, all that with quite reasonable price.","Taxi drivers who cooperate with hotel, both times, from airport and back, charged 2-3 EUR above the price agreed with the hotel (20 EUR). To clarify, it is not about the money, I would certainly give that money as a tip, but feeling that someone is cheating you and stilling money from you is really awkward and ugly, especially when you are alone with small child in the middle of the night and have no alternative way of transport.",10.0,Dear_d,Serbia,Double Room with Balcony,9 nights,August 2022,Family,
I never stayed in a room that smelled so nice.,"The food was very tasty (I didn't have breakfast but ate dinner at the restaurant), staff very helpful and friendly, very nice bathroom, and the room was well equipped and also smelled very nice.",It was a bit loud outside but that was just normal for summertime I guess.,9.0,Beatrice,Belgium,Double Room with Balcony,1 night,August 2022,Solo traveler,
staff very friendly and helpful had a wonderful night stay,very clean and modern,,10.0,Parisimo,United Kingdom,Double Room with Balcony,1 night,August 2022,Group,
amazing,"very clean and comfortable, close to the airport",,10.0,Hassan,Lebanon,Double Room,1 night,August 2022,Solo traveler,
"Comfortable bed, excellent location! Great value for money!","The guy at the reception was very kind and helpful! 
The room and bathroom were of very good size and clean! 
Our bed was so comfortable! 
We wanted something close to Makenzie as we had plans for the night and this place was just perfect!",,10.0,Stalo,Cyprus,Double Room,1 night,August 2022,Couple,
Wonderful,that your hotel allowed to stay with animals,,9.0,Darya,Cyprus,Double Room with Balcony,2 nights,August 2022,Solo traveler,
Wonderful,"The room was very clean. Using the air conditioner was great after a hot day outside. 
The staff was very nice.","The location of the hotel was a bit far from the city centre, but you can take the 425 bus, which arrives fairly often at the station near the hotel.",9.0,Ioan-cristian,Romania,Double Room with Balcony,4 nights,August 2022,Couple,
"Impeccable service, delicious breakfast, cosy and relaxing experience","The breakfast prepared by Richard was delicious and freshly prepared. As well there are many choices from Cyprus to English breakfast.
 Very friendly and the most helpful host.
Impeccable service, very comfortable bed, pleasant and relaxing staying in Larnaca.",,10.0,Cristina-,Netherlands,Double Room with Balcony,1 night,August 2022,Solo traveler,
Clean & comfortable room - Great value for money,"We took the suit has we were 2 adults & 3 kids.
the room was clean & the bed were comfortable
if the hotel had swimming pool it would be perfect
the lady in reception (Maria) was VERY helpful
good value for money",no swimming pool,9.0,Ido,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
Great stay,"La veranda was lovely and clean,great friendly staff and great chef.Brilliant location for beach and bars.",,10.0,Koulla,United Kingdom,Double Room with Balcony,12 nights,August 2022,Couple,
Exceptional,"Modern, clean accommodation. Good food and great staff. Richard is a star!",,10.0,Andrzej,United Kingdom,Two-Bedroom Suite,1 night,August 2022,Family,
Exceptional,"I did not expect such a beautiful hotel for such a cheap price
Disgusting on the outside but clean and beautiful on the inside",,10.0,Shalom,Israel,Family Suite with Balcony,1 night,August 2022,Family,
Wonderful,"Room was clean and the bed was comfortable 
Friendly staff and great location",The smell in the bathroom,9.0,Ilaria,Romania,Double Room,1 night,August 2022,Couple,
Exceptional,"Great localization, very helpful and kind personel, very clean room and bathroom, I recommend this place a lot 
12 stars :)",,10.0,Joanna,Poland,Double Room,2 nights,August 2022,Solo traveler,
Good hotel for an early flight,"the proximity to the airport
nice restaurant at the hotel with a external balcony",slow elevators,8.0,Oren,Cyprus,Two-Bedroom Suite,1 night,August 2022,Solo traveler,
Exceptional,"Very clean, comfy bed, close to the airport, easy self check-in, great breakfast.",,10.0,Yulia,Russia,Double Room,1 night,August 2022,Family,
We cannot wait to visit again. Loved it.,Everything. It felt like a home from home. Fantastic hotel with wonderful staff. Exceptional,There was nothing not to like. Fabulous place.,10.0,Brigitta,United Kingdom,Two-Bedroom Suite,9 nights,August 2022,Family,
very good bargain,very convenient friendly staff near mackenzie beach,nothing,9.0,Ismail,France,Standard Triple Room,1 night,August 2022,Group,
clean and comfortable stay,perfect overnight stay close to the airport,,10.0,Andrew,United Kingdom,Two-Bedroom Suite,1 night,August 2022,Group,
Wonderful,nice and clean,,9.0,David,Israel,Suite with Balcony,1 night,August 2022,Family,
An amazing stay at a beautiful little gem hotel,"We stayed 9 nights at this beautiful little hotel and it was extraordinary. Close to the airport and also a 5 min walk from Makenzie blue flag beach. The room was super clean, everything new and cosy, the bathroom with a spacious cabin shower. The bed and pillows were very comfy. The staff was super super friendly and made everything possible for our stay to be perfect. Rich breakfast with various local food. Also we ate dinner a couple of times at the terrace and everything was very tasty. We have absolutely nothing to complain, it was a dreamy vacation and for sure we will come back. Thank you for a perfect stay!!!",Everything was perfect!,10.0,Silviu,Romania,Double Room with Balcony,9 nights,August 2022,Couple,
very friendly staff,"the staff were so incredibly friendly. such a nice hotel with good rooms , clean, smart and comfortable. But it’s the staff who make this hotel:",Nothing,10.0,Shaun,United Kingdom,Double Room with Balcony,1 night,August 2022,Couple,
Exceptional,Amazing staff!,,10.0,Elihana,United States of America,Standard Triple Room,1 night,May 2022,Family,
Nice hotel close to airport,Very close of the airport. Very comfortable bed.,Nothing,10.0,Lisdy,Venezuela,Standard Triple Room,1 night,June 2022,Family,
Exceptional,"Great place for a night before a flight. Very friendly staff, let us into room as soon as it was ready. Everything was super clean, modern and comfortable. Great for the price.Arranged airport taxi for 6am too.","Nothing to do with the hotel, just the quick path down to the beachside cafes is a bit treacherous.",10.0,Lisa,United Kingdom,Double Room with Balcony,1 night,August 2022,Couple,
Exceptional,"Everything was new, beautiful and clean.",That there is no kiosk open 24 hours close to the hotel.,10.0,Osher,Israel,Double Room,1 night,August 2022,Couple,
Exceptional,"Perfect stay. 
Thank you.",,10.0,Chiaki,United Kingdom,Standard Triple Room,1 night,July 2022,Family,
Great only they need to take care of the late check in,"Close to the bars near the sea, close to the airport, clean rooms.",We had a late check in and there was no one in the hotel to give us keys and the door was locked. We had to ask the taxi driver to make the call because it was cyprus number.,9.0,Sapir,Israel,Double Room,1 night,July 2022,Group,"Thank you for your comments. For our guests who need to make late check-in at night, we always send instructions through booking of how to collect the key, apparently you didn’t see the message sent to you through booking. We are sorry for any inconvenience."
highly recommend this hotel close to the airport and beach,"very close to the airport after a late flight, lovely friendly staff who checked us in quickly and beautiful, spotless room. really comfortable nights sleep in an air conditioned room after a great shower. beautiful fresh breakfast which was very reasonably priced. also stored luggage and called a taxi for us.",nothing,10.0,Emma,United Kingdom,Two-Bedroom Suite,1 night,July 2022,Family,
Very clean hotel and polite staff,Lovely staff. Good food.,Would have liked more TV channels like RT Russia Today,8.0,Kenneth,Spain,Double Room with Balcony,1 night,July 2022,Solo traveler,
Great stay near the airport!,"It was exactly what we were looking for. A comfortable, nice and clean hotel near the airport. The facilities are wonderful, brand new and full equiped. We really enjoyed the dinner in the restaurant. Everything was freshmade and prepare by the cheff... nice shower and bed. Excellent value for money",,10.0,Daniel,Spain,Double Room with Balcony,1 night,July 2022,Family,
Exceptional,"I needed a place to stay near the airport for a few hours before catching my plane. it was great, comfy, air conditioned and clean. very good value for money",,10.0,Alexandre,Lebanon,Double Room with Balcony,1 night,July 2022,Solo traveler,
